title,company,location,salary_min,salary_max,description,date_collected
Data Analyst,Falcon Autotech,"Noida, Ghaziabad",400000.0,700000.0,"Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy Expertise of SQL/PL-SQL -ability to write procedures and create queries for reporting purpose. Must have worked on a reporting tool – Power BI/Tableau etc. Strong knowledge of excel/Google Sheets – must have worked with pivot tables, aggregate functions, logical if conditions. Strong verbal and written communication skills for coordina…",2026-08-10
Data Analyst,Marktine,"Bangalore, Karnataka",0.0,1500000.0,"Immediate Joiners Preferred NOTE: Working Shift: 11 am - 8 pm IST (/- one hour on need basis) Monday to Friday Responsibilities : 1. Leverage Alteryx to build, maintain, execute and deliver data assets. This entails using data analytics tools (combination of proprietary tools, Excel, and scripting), validating raw data quality, and working with Tableau/ Power BI and other geospatial data visualization applications 2. Analyze large data sets in Alteryx, finding patterns and providing a concise s…",2026-08-10
Data Analyst,QAgile Services,India,300000.0,500000.0,"Microsoft Fabric, Power BI, Data modelling, ETL, Spark SQL Remote work- 5-7 hours 450 Rs hourly charges Skills:- PowerBI, Data modeling, ETL, Spark, SQL and ELT",2026-08-10
Data Analyst,Jobdost,"Mangalore, Dakshin Kannada",800000.0,1000000.0,"Who is an ideal fit for us? We seek professionals who are analytical, demonstrate self-motivation, exhibit a proactive mindset, and possess a strong sense of responsibility and ownership in their work. What will you get to work on? As a member of the Implementation & Analytics team, you will: ● Design, develop, and optimize complex SQL queries to extract, transform, and analyze data ● Create advanced reports and dashboards using SQL, stored procedures, and other reporting tools ● Develop and ma…",2026-08-10
Data Analyst,Vector Labs Tech,India,1200000.0,2100000.0,"Responsibilities: Data Collection and Preparation: Gather data from various sources, including databases, spreadsheets, and APIs. Clean, validate, and transform data to ensure accuracy and consistency. Develop and maintain data pipelines for efficient data processing. Data Analysis and Interpretation: Analyze large datasets to identify trends, patterns, and correlations. Perform statistical analysis and hypothesis testing to validate findings. Develop and implement data models and algorithms to…",2026-08-10
Data Analyst,Intercept Pharmaceuticals,"Bangalore, Karnataka",,,"About Intercept Pharmaceuticals Intercept Pharmaceuticals, Inc. is an American biopharmaceutical company incorporated in 2002, focusing on the development of novel synthetic bile acid analogs to treat chronic liver diseases, such as primary biliary cirrhosis (PBC) now called primary biliary cholangitis, non-alcoholic fatty liver disease (or non-alcoholic steatohepatitis , NASH), cirrhosis , portal hypertension , primary sclerosing cholangitis and also the intestinal disorder, bile acid diarrhea…",2026-08-10
Data Analyst,Indium Software,"Bangalore, Karnataka",100000.0,1500000.0,"2 years of Analytics with predominant experience in SQL, SAS, Statistics, R , Python, Visualization Experienced in writing complex SQL select queries ( window functions & CTE’s) with advanced SQL experience Should be an individual contributor for initial few months based on project movement team will be aligned Strong in querying logic and data interpretation Solid communication and articulation skills Able to handle stakeholders independently with less interventions of reporting manager Develo…",2026-08-10
Data Analyst,Millions Advisory,"Pune, Maharashtra",500000.0,1700000.0,"Must have 5-8 years of experience in handling data Must have the ability to interpret large amounts of data and to multi-task Must have strong knowledge of and experience with programming (Python), Linux/Bash scripting, databases(SQL, etc) Must have strong analytical and critical thinking to resolve business problems using data and tech Must have domain familiarity and interest of – Cloud technologies (GCP/Azure Microsoft/ AWS Amazon), open-source technologies, Enterprise technologies Must have…",2026-08-10
Data Analyst,Jobdost,"Delhi, India",100000.0,600000.0,"What you will do: Understand the process of CaaStle business teams, KPIs, and pain points Build scalable data products, self-service tools, data cubes to analyze and present data associated with acquisition, retention, product performance, operations, client services, etc. Closely partner with data engineering, product, and business teams and participate in requirements capture, research design, data collection, dashboard generation, and translation of results into actionable insights that can …",2026-08-10
Data analyst,Cadila Zydus healthcare pvt ltd,India,700000.0,1000000.0,"Interpret data, analyze results using statistical techniques and provide ongoing reports Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality Acquire data from primary or secondary data sources and maintain databases/data systems Identify, analyze, and interpret trends or patterns in complex data sets Filter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and…",2026-08-10
Data Analyst,Azent Overseas,"Mumbai, Maharashtra",0.0,700000.0,"Data auditing, validating and monitoring all data for accuracy. Create daily, weekly, monthly and quarterly MIS report. Coordinating & collecting the data Updated the data in CRM Skills:- Microsoft Excel",2026-08-10
Data Analyst,Impact Guru,"Mumbai, Maharashtra",300000.0,900000.0,"Experience - 2 years to 5 years. Location - Andheri (Mumbai) Job Responsibilities: Excellent problem solving and analytical skills - ability to develop hypotheses, understand and interpret data within the context of the product / business - solve problems and distill data into actionable recommendations.  Strong communication skills with the ability to confidently work with cross- functional teams across the globe and to present information to all levels of the organization.  Intellectual and…",2026-08-10
Data Analyst,Ayoconnect Technology,India,400000.0,1000000.0,"Responsible for gathering, crunching, collecting raw data. Own all data needs in the growth team and across key cross-functional initiatives from data extraction, dashboard creation, and data analysis. Provide insights and recommended actions as response to current situation, trend, as well as preventive one for better preparation. Collaborate with data engineering and cross-functional stakeholders to define data requirements, create dashboard, to drive business decisions and optimize business …",2026-08-10
Data Analyst,Srijan Technologies,India,0.0,1200000.0,"Role Description: You will be part of the data delivery team and will have the opportunity to develop a deep understanding of the domain/function. You will design and drive the work plan for the optimization/automation and standardization of the processes incorporating best practices to achieve efficiency gains. You will run data engineering pipelines, link raw client data with data model, conduct data assessment, perform data quality checks, and transform data using ETL tools. You will perform…",2026-08-10
Data Analyst,MedCords,"Kota, Rajasthan",0.0,250000.0,"Required Python ,R work in handling large-scale data engineering pipelines. Excellent verbal and written communication skills. Proficient in PowerPoint or other presentation tools. Ability to work quickly and accurately on multiple projects. Skills:- R Language and Python",2026-08-10
Data Analyst,Ingrainhub,"Bangalore, Karnataka",300000.0,1200000.0,"Good knowledge of SQL , Microsoft Excel One Programming language in SAA/Python or R Skills: R Programming, Python and MS-Excel",2026-08-10
Data Analyst,TechNex Technologies Private Limited,"Pune, Maharashtra",,,"Good Opportunity to work with an IT Company. Can Learn new things with out any experience. And many other good thing. Skills: MS Office, Typing and English Proficiency",2026-08-10
Data Analyst,PayU,"Gurgaon, Haryana",700000.0,1500000.0,"What you will be doing: As a part of the Global Credit Risk and Data Analytics team, this person will be responsible for carrying out analytical initiatives which will be as follows: - Dive into the data and identify patterns Development of end-to-end Credit models and credit policy for our existing credit products Leverage alternate data to develop best-in-class underwriting models Working on Big Data to develop risk analytical solutions Development of Fraud models and fraud rule engine Collab…",2026-08-10
Data Analyst,Dotball Interactive Private Limited,"Bangalore, Karnataka",300000.0,600000.0,"- Excellent skill in SQL and SQL tools - Fantasy Gamer - Excited to dive deep into data and derive insights - Decent communication and writing skills - Interested in Automated solutions - Startup and Growth Mindset - Analytical Data mining thinking - Python - Good programmer Skills: Python, Data Analytics and SQL server",2026-08-10
Data Analyst,Grubbrr systems Pvt Ltd,"Ahmedabad, Gujarat",300000.0,900000.0,"Job Responsibility: * Coordinate with CSMs to complete Pilot sales tracker, QBR Decks, End of pilot Decks *Monitor Daily Sales volume and alert CSMs of Locations with Low volume counts *Collaborate with other teammates to extract data figures, data entry (Google Sheets & Google Slides), and monitor key performance indicators (KPIs) to determine business initiatives’ success *Helping in Minor Integration Changes *Helping with Tickets and giving support when required * Basic product knowledge of …",2026-08-10
Data Analyst,zyoin,"Bangalore, Karnataka",500000.0,2100000.0,"Location: Bangalore Work Timing: 5 Days A Week Responsibilities include: • Ensure right stakeholders gets right information at right time • Requirement gathering with stakeholders to understand their data requirement • Creating and deploying reports • Participate actively in datamarts design discussions • Work on both RDBMS as well as Big Data for designing BI Solutions • Write code (queries/procedures) in SQL / Hive / Drill that is both functional and elegant, following appropriate design patt…",2026-08-10
Data Analyst,CIEL HR Services,"Bangalore, Karnataka",0.0,1500000.0,"Analytical tool: Redpoint Research and drawing insights Excellent written, oral and presentation skill Critical thinking and problem-solving skill Applications: SQL, Redpoint Description: Create unique fleet rich database using multi step matching rules Critical thinking in identifying record survivor ship rules for identifying master record Data roll-up at different levels, by providing linkage across databases Learn issues clients are currently facing with their dataset Foresee the problems i…",2026-08-10
Data Analyst,Talent500 by ANSR,"Bangalore, Karnataka",1000000.0,3000000.0,"Primary Duties and Responsibilities Experience with Informatica Multidomain MDM 10.4 tool suite preferred Partnering with data architects and engineers to ensure an optimal data model design and implementation for each MDM domain in accordance with industry and MDM best practices Works with data governance and business steward(s) to design, develop, and configure business rules for data validation, standardize, match, and merge Implementation of Data Quality policies, procedures and standards a…",2026-08-10
Data Analyst,Beauto Systems Private Limited,India,100000.0,500000.0,"Knowledge of database languages such as SQL, NoSQL, AWS services, linux or Python Knowledge in PowerBI Good to have knowledge in Kibana (visualization) and Kibana Development tools Analytical and problem-solving skills Proficiency in Microsoft Excel Data visualization (simple aggregation-based charts to complex geo-based visualizations) Accuracy and excellent attention to detail Strong written/verbal communication skills Qualifications and Experience 3 years’ experience in Data Analysis or rele…",2026-08-10
Data Analyst,Yulu Bikes,"Bangalore, Karnataka",700000.0,1200000.0,"Skill Set SQL, Python, Numpy,Pandas,Knowledge of Hive and Data warehousing concept will be a plus point. JD - Strong analytical skills with the ability to collect, organise, analyse and interpret trends or patterns in complex data sets and provide reports & visualisations. - Work with management to prioritise business KPIs and information needs Locate and define new process improvement opportunities. - Technical expertise with data models, database design and development, data mining and segmen…",2026-08-10
Data Analyst,Humanitus Learning Science and Consultancy Pvt Limited,India,500000.0,700000.0,"What You’ll Do Synthesize data to provide actionable insights to the leadership and the product team to influence strategy and growth. Build dashboards and tools, craft analysis, and tell stories with data to help our teams make better decisions. Track user performance data and map it to key learning metrics for deeper insights Monitor the performance of new features and recommend iterations based on your findings Partner with other stakeholders to scope features that solve user problems Owners…",2026-08-10
Data Analyst,Rocket Kommerce,"Bangalore, Karnataka",500000.0,800000.0,"Rocket Kommerce LLP: We are a Bangalore-based top-tier stealth-mode e-commerce enabling technology & solutions company powering several brands and leading e-commerce companies in India. Our product is a Cloud-based SaaS Inventory, Warehouse Management & Omni-Channel Solution. We have deep relationships with leading e-commerce companies in India and have processed over Rs 1500 crore of GMV. We are building out our product and technology platform and other services anticipating HUGE demand over n…",2026-08-10
Data Analyst,Talent Pro,"Mumbai, Maharashtra",800000.0,1200000.0,"Must have Strong SQL skills (queries, optimization, procedures, triggers), Hands-on experience with SQL, Automated through SQL. Looking for candidates having 2 years experience who has worked on large datasets with 1cr. datasets or more. Handling the challenges and breaking. Must have Advanced Excel skills Should have 3 years of relevant experience Should have Reporting  dashboard creation experience Should have Database development & maintenance experience Must have Strong communication for cl…",2026-08-10
Data Analyst,Pluginlive,"Mumbai, Maharashtra",1000000.0,2000000.0,"About the company DCB Bank is a new generation private sector bank with 442 branches across India.It is a scheduled commercial bank regulated by the Reserve Bank of India. DCB Bank’s business segments are Retail banking, Micro SME, SME, mid-Corporate, Agriculture, Government, Public Sector, Indian Banks, Co-operative Banks and Non-Banking Finance Companies. Job Description Department : Risk Analytics CTC: Max 18 Lacs Grade: Sr Manager/AVP Experience: Min 4 years of relevant experience We are lo…",2026-08-10
Data Analyst,Stanza Living,India,600000.0,900000.0,"Who we are: Stanza Living is India’s largest and fastest growing tech-enabled, managed accommodation company that delivers a hospitality-led living experience to migrant students and young working professionals across India. We have a full-stack business model that focuses on design, development and delivery of daily living solutions tailored to the young consumers’ lifestyle. From smartly-planned residences, host of amenities and services for hassle-free living to exclusive community engagemen…",2026-08-10
Data Analyst,Wissen Technology,"Mumbai, Maharashtra",,,"Key qualifications 1. Bachelor’s Degree required and any other relevant academic course a plus. 2. Strong domain knowledge of investment data 3. 5 years of data management, data analytics, or data governance experience in financial services 4. Experience in data analysis, exploratory analysis using SQL and formulating data quality rules. 5. Experience working with BI reporting tools like Tableau, Power BI is preferred. 6. Knowledge in coding, Python is a plus. 7. Prior experience working with D…",2026-08-10
Data Analyst,Peak Hire Solutions,"Bangalore, Karnataka",800000.0,1100000.0,"Required Skills: Strong SQL Expertise, Data Reporting & Analytics, Database Development, Stakeholder & Client Communication, Independent Problem-Solving & Automation Skills Review Criteria · Must have Strong SQL skills (queries, optimization, procedures, triggers) · Must have Advanced Excel skills · Should have 3 years of relevant experience · Should have Reporting  dashboard creation experience · Should have Database development & maintenance experience · Must have Strong communication for cli…",2026-08-10
Data Analyst,Fisdom,"Bangalore, Karnataka",100000.0,100000.0,"Background Fisdom is a leading digital wealth management platform. Fisdom platform (mobile apps and web apps) provides access to consumers to a wide bouquet of financial solutions – investments, savings and protection (and many more in the pipeline). Fisdom blends cutting-edge technology with conventional financial wisdom, awesome UX and friendly customer service to make financial products simpler and more accessible to millions of Indians. We are growing and constantly looking for high perform…",2026-08-10
Data Analyst,Multi Recruit,"Bangalore, Karnataka",650000.0,850000.0,"Bachelor's degree in Computer Science, Engineering, Operations Research, Math, or related discipline. Minimum 2 years of experience as an Analyst role preferred. Highly proficient in Microsoft Office and Windows based applications. SQL AND Excel Knowledge and Hands-on experience is a must. Demonstrated Analytical ability, results-oriented environment with external customer interaction. Excellent written and verbal communication and presentation skills and the ability to express thoughts logical…",2026-08-10
Data Analyst,EXL,India,,,"Description Header Description Role Description This role sits within the Risk & Compliance Product Team, working closely with the Data Discovery team. The Data Discovery team builds datasets/tables, and this role is responsible for validating those outputs before they are consumed by product use cases Location Gurgaon ( 3 days in office withno exceptions ) Experience 4-8 Years Start Date Immediate Must-Have Skills Strong SQL expertise (mandatory) Experience in Banking / Financial Services doma…",2026-08-10
Data Analyst,Tap Invest,"Bangalore, Karnataka",300000.0,500000.0,"As an Analyst at Tap Invest, you’ll turn data into decisions. You’ll work with teams across Product, Ops, Marketing, and Sales to uncover insights, solve real business problems, and drive strategy. This role is for someone who is comfortable working with data independently and can support business teams with reliable analysis and reporting. Key Responsibilities ● Gather, organize, and clean data from various sources including databases, spreadsheets, and external sources to ensure accuracy and …",2026-08-10
Data Analyst,Jsw Steel,"Mumbai, Maharashtra",,,"Focus on improving processes and strategies within organizations, by analyzing data, provide actionable insights to help stakeholders make informed decisions Drive growth and bring-in business efficiency Bridge the gap between business needs and technical solutions Assist organization understand preferences and behaviors, leading to improved products, services, and engagement strategies Enable innovation by providing insights that guide the development of new products, technologies, and busines…",2026-08-10
Data Analyst,Barclays,India,,,"Job Description Purpose of the role To enable data-driven strategic and operational decision making through extracting actionable insights from large datasets, performing statistical and advanced analytics to uncover trends and patterns, and presenting findings through clear visualisations and reports. Accountabilities Investigation and analysis of data issues related to quality, lineage, controls, and authoritative source identification, documenting data sources, methodologies, and quality fin…",2026-08-10
Data Analyst,Caratlane,"Pune, Maharashtra",,,"Responsibilities: Understanding the reporting requirements and provide valuable advice Continuous optimization and automation of reporting, further development of reporting tools, active management of the reporting portfolio Creation of assigned reports in time and quality Collaboration with international teams Requirements: Must have: Expertise with PowerBI/Tableau or SAP Analytics Cloud (SAC) Expertise with Microsoft Excel, Access, Powerpoint VBA programming skills for Microsoft Excel and Acc…",2026-08-10
Data Analyst,Caratlane,"Pune, Maharashtra",,,"Dashboarding (PowerBI, Quicksight etc) - Data preprocessing, cleaning, modelling and deployment experience. Experience in software engineering Requirements engineering Hands on cloud stack experience (preferred aws) Problem solving Good Communication and presentation skills in English Requirements: Understanding of data structures Continuous learning attitude Deep learning hands on experience Building and Deploying the models Automotive data analysis knowhow Front end development and dashboardi…",2026-08-10
Data Analyst,Techcom Solutions India Private Limited,"Bangalore, Karnataka",,,"Strong proficiency in SQL for data querying and analysis • Hands-on experience with Python for data analysis • Solid understanding of data modeling concepts • Experience working with BigQuery, Airflow, PySpark, and Git Good to Have • Experience with Excel / Google Sheets for analysis and validation • Exposure to BI tools such as Power BI, Tableau, or Looker • Working knowledge of statistics and analytical techniques • Familiarity with advanced analytics (regression, forecasting, experimentation…",2026-08-10
Data Analyst,Tribute Technology,"Hyderabad, Telangana",,,"ABOUT TRIBUTE TECHNOLOGY: At Tribute Technology, we make end-of-life celebrations memorable, meaningful, and effortless through thoughtful and innovative technology solutions. Our mission is to help communities around the world celebrate life and pay tribute to those we love. Our comprehensive platform brings together software and technology to provide a fully integrated experience for all users, whether that is a family, a funeral home, or an online publisher. We are the market leader in the U…",2026-08-10
Data Analyst,Tech Smcsquared Gcc,"Bangalore, Karnataka",,,"Roles and Responsibilities Perform quantitative and qualitative data analysis using SQL and other tools to uncover patterns, trends, and actionable insights. Translate complex datasets into meaningful business insights, addressing the so-what and what-if questions to guide decision-making. Prepare clear, concise, and insightful reports, presentations, and dashboards for stakeholders. Collaborate with cross-functional teams to understand business needs and provide data-driven recommendations. Ma…",2026-08-10
Data Analyst,Recro,"Bangalore, Karnataka",,,Job Description: Looking for someone with 2 years Strong experience over Python  SQL. Very proficient with the problem solving. Good Communication Skills. Skills:- Python,2026-08-10
Data Analyst,Tribute Technology,"Hussainialam, Hyderabad",,,"ABOUT TRIBUTE TECHNOLOGY: At Tribute Technology, we make end-of-life celebrations memorable, meaningful, and effortless through thoughtful and innovative technology solutions. Our mission is to help communities around the world celebrate life and pay tribute to those we love. Our comprehensive platform brings together software and technology to provide a fully integrated experience for all users, whether that is a family, a funeral home, or an online publisher. We are the market leader in the U…",2026-08-10
Data Analyst,Ecolab,India,,,"Job Description Maintain and manage SCF inventory adjustment review and approval workflow for SOX compliance and PWC audit compliance. Onboarding new sites on monday.com for documentation of inventory adjustment approval and training the end users. Develop & maintain SCF Analytic reports supporting global SCF team members with timely insight, error resolution, and enhancements. Support and lead design of new digital solutions, data mapping, and modeling for new PBI reports, or digital solution …",2026-08-10
Data Analyst,Phenom People,"Hyderabad, Telangana",,,"Responsibilities: Use SQL to analyze, hypothesize, and solve complex business challenges while identifying and visualizing opportunities for growth. Work with Business Intelligence (BI) tools such as Looker and Superset to build dashboards and visual reports. Extract and report data using efficient database queries with a focus on cloud data platforms, pipeline automation, and scalable analytics solutions. Apply statistical modeling and prediction techniques to derive actionable insights that s…",2026-08-10
Data Analyst,S&P Global,"Ahmedabad, Gujarat",,,"About The Role Grade Level (for internal use): 07 Role Scope The Data Research Associate is an individual contributor role that develops foundational proficiency in one or more workflows or datasets. The role supports end-to-end data lifecycle activities including sourcing, basic validation, enrichment, and delivery under guidance, adhering strictly to standard operating procedures (SOPs) and set guidelines, and escalating deviations for a defined dataset or workflow. The role emphasizes buildi…",2026-08-10
Data Analyst,Hitachi,"Chennai, Tamil Nadu",,,"Location: Chennai, Tamil Nadu, India Job ID: R0124762 Date Posted: 2026-07-16 Company Name: HITACHI ENERGY TECHNOLOGY SERVICES PRIVATE LIMITED Profession (Job Category): Data Analytics/Business Intelligence Job Schedule: Full time Remote: No Job Description: Supporting Transformers QO Management with the development and administration of the BU-QO’s Power BI reports and data management. • Extract, clean, and transform data from multiple sources and ensure accuracy and consistency. Development o…",2026-08-10
Data Analyst,Guidehouse,India,,,"Job Family : EBO Management Information System (India) Travel Required : None Clearance Required : None What You Will Do : Gather data from primary and secondary sources, ensuring the upkeep of databases and data systems. Detect, examine, and decode trends or patterns within intricate datasets. Cleanse data and scrutinize computer-generated reports and outputs to identify and rectify coding errors. Coordinate with management to align business and informational priorities. Identify opportunities…",2026-08-10
Data Analyst,Hitachi,India,,,"Location: Maneja, Gujarat, India Job ID: R0123378 Date Posted: 2026-06-29 Company Name: HITACHI ENERGY TECHNOLOGY SERVICES PRIVATE LIMITED Profession (Job Category): Engineering & Science Job Schedule: Full time Remote: No Job Description: The opportunity The successful candidate will be part of an international Digital Engineering and Design team, supporting in create Business report using Power BI, SQL, SAP a t the Global Engineering Center in Vadodara, India, you’ll be part of a dynamic team…",2026-08-10
Data Analyst,Guidehouse,India,,,"Job Family : EBO Management Information System (India) Travel Required : None Clearance Required : None What You Will Do : Contribute & Manage backend PMO activities (Timesheet Management, Invoice Oversight, SubK & Roster Management, Laptop/Resource Management, Expenses, EDSP & other Compliance Requirements), including project documentation, governance, and compliance tracking Develop and maintain advanced reports and dashboards using MS Excel and Power BI to deliver actionable insights Perform…",2026-08-10
Data Analyst,Ecolab,India,,,"What You'll Do Support Power BI reporting and analytics for global Supply & Demand Planning functions, developing scalable dashboards, scorecards, and KPI reporting solutions. Generate actionable insights by analyzing supply chain data across inventory, demand planning, forecasting, and supply planning processes. Own KPI governance, reporting, and performance measurement, ensuring metrics are accurate, standardized, and aligned with business objectives. Partner with regional and global stakehol…",2026-08-10
Data Analyst,Campus Management,"Bangalore, Karnataka",,,"Primary Responsibilities: Administer a PostgreSQL database and ensure smooth data operation Manage and create data sets available through BI tools such as Chartio , Power BI , or others Automate and refresh reports and dashboards in a BI tool through queries Help improve data quality and data availability by analyzing existing data and datasets Provide systems best practices recommendations to enhance the efficiency and overall data quality of our systems Required Skills/Qualifications: BA/BS D…",2026-08-10
Data Analyst-,Hunarstreet Technologies Pvt Ltd,"Vadodara, Gujarat",400000.0,600000.0,"Key Responsibilities • Understand customer product configurations and translate them into structured data using Windowmaker Software. • Set up and modify profile data including reinforcements, glazing, and accessories, aligned with customer-specific rules and industry practices. • Analyse data, identify inconsistencies, and ensure high-quality output that supports accurate quoting and manufacturing. • Collaborate with cross-functional teams (Sales, Software Development, Support) to deliver comp…",2026-08-10
Data Analyst,Lloyds Bank,India,,,"End Date Tuesday 29 September 2026 We Support Flexible Working – Click here for more information on flexible working options Flexible Working Options Hybrid Working Job Description Summary The Data Engineer will focus on assisting in the design, development, and maintenance of Data Product pipelines, gaining practical experience whilst working under the guidance of senior data engineers.​ Job Description Must Have Skills : SQL, GCP, Python Experience Level: 2 - 5 Years Supports and enables othe…",2026-08-10
Data Analyst,Sonata Software,"Hyderabad, Telangana",,,"Key Responsibilities: • Works independently within Data and Analytics with limited design help from manager or senior associates • Advanced proficiency in SQL for querying, data manipulation, and optimization. • Ability to write complex SQL queries, including subqueries, joins. • Preferably 2 years' experience with Snowflake. Ability to write complex SQL queries, including subqueries, joins. • Leverage coding best practices and advanced techniques to ensure efficient execution of code against l…",2026-08-10
Data Analyst,HP,"Bangalore, Karnataka",,,"Description - Job Summary This role is responsible for collecting, analyzing, interpreting, and presenting data to support decision-making and provide insights to the organization. The role applies statistical and analytical methods to explore data, identify trends, patterns, and anomalies, and extract actionable insights. The role helps organization make data-driven decisions, optimize processes, and achieve their strategic objectives. The role provides strategic recommendations to senior mana…",2026-08-10
Data Analyst,Guidehouse,India,,,"Job Family : EBO Management Information System (India) Travel Required : None Clearance Required : None What You Will Do: Understand high-level client requirements, break them down into detailed tasks, and collaborate with the team to define solutions; provide recommendations based on qualitative and quantitative analysis Contribute & Manage backend PMO activities (Timesheet Management, Invoice Oversight, SubK & Roster Management, Laptop/Resource Management, Expenses, EDSP & other Compliance Re…",2026-08-10
Data Analyst,ORBIT & SKYLINE,"Mohali, Punjab",,,"The candidate will be part of a team assisting in the delivery of efficient engineering support and solutions to customers while also contributing to the development of Indian semiconductor ecosystem. Roles & Responsibilities Designing and maintaining data systems and databases; this includes fixing coding errors and other data-related problems. Mining data from primary and secondary sources, then reorganizing said data in a format that can be easily read by either human or machine. Using stati…",2026-08-10
Data Analyst,Orbit Skyline,"Mohali, Punjab",,,"Designing and maintaining data systems and databases; this includes fixing coding errors and other data-related problems. Mining data from primary and secondary sources, then reorganizing said data in a format that can be easily read by either human or machine. Using statistical tools to interpret data sets, paying particular attention to trends and patterns that could be valuable for diagnostic and predictive analytics efforts. Demonstrating the significance of their work in the context of loc…",2026-08-10
Data Analyst,Acura Solution,"Mumbai, Maharashtra",,,"Job Description: 2-3 years of experience in Data Analysis, preferably in the aviation industry.  Proficient in data analysis tools such as SQL, Python, or SAS.  Experience with data visualization tools (Tableau, Power BI, etc.).  Strong analytical and problem-solving skills. Key Responsibilities 1 Gather, clean, and preprocess data from various sources at Agos Aviation, ensuring data accuracy, completeness, and integrity for analysis. 2 Apply statistical and analytical techniques to derive m…",2026-08-10
Data Analyst,,"Hyderabad, Telangana",,,"Data gathering/ Research Assist team leaders in gathering and verifying data through primary and secondary research methods using internal and external tools Organize, participate and document Project related interviews, focus group discussions etc. Connect with support teams (L&D, HR, Finance, Marketing teams etc.) to collate data and provide clients any required data, analyses, reports or recommendations. Verify accuracy of data and identify missing or conflicting data Share insights from fin…",2026-08-10
Data Analyst,,"Mumbai, Maharashtra",,,"Job description Conducting the Validation & Audit at MSO & local operators Digital Head-ends to ensure System has complying the TRAI Norms & also help to stop Revenue leakages. Technical support & activated on the trouble shooting at DTH, MSO local operator level to ensure for channels are running on the ground. Antipiracy activities TS recording on ground level and analyze",2026-08-10
Data Analyst,,"Chennai, Tamil Nadu",,,"HiWelcome students, ladies, to allDo u have a free time? Do u want earnings? But u want to know genuine websites and jobs. I will guide u. Computer job nternational project u will get. If u want WhatsApp 2. Details r all in text file. U want to buy RS.150 only",2026-08-10
Data Analyst,,"Bangalore, Karnataka",,,"Its primary target is to create and maintain data pipelines. Strong analytics skills are needed to understand complex data sets . Experience in running database service on Cloud would be needed to run a secure data platform. The ideal candidate must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing data models. They must have a proven ability to drive business results with their data-based insights. They must be…",2026-08-10
Data Analyst,Mancraft Consulting,"Noida, Ghaziabad",,,"Job Description: Primary Role Description: - The incumbent will be a part of the advanced descriptive and predictive analytics sub-function to work on analysis/reports/dashboards related to superior risk selection, risk assessment and risk management. To help data evidence-based decision-making for the business to enable better understanding and management of the health risks. The role requires a good understanding of Health Insurance domain in India and various drivers of profitability. Respon…",2026-08-10
Data Analyst,EXL,India,,,"Description In this position, the candidate will be responsible for building and maintaining BI and analytics solutions that transform data into actionable insights through interactive and easy-to-understand dashboards and reports. The role requires a strong background in data analysis, digital marketing analytics, and business intelligence, along with excellent analytical and communication skills. The selected candidate will work in a client-facing capacity, supporting end-to-end BI developmen…",2026-08-10
Data Analyst,EXL,India,,,"Description Analyze and interpret large datasets to extract meaningful insights and support decision-making processes in the business. Responsibilities Collect, clean, and analyze data, create reports and dashboards, collaborate with stakeholders on data needs, perform statistical analysis Qualifications Bachelor's/Master's in any stream 2-5 years",2026-08-10
Data Analyst,Quality Engineering,India,,,"Croma - data entry Excellent communication skills Good attitude, punctual and disciplined Multitasking abilities Typing Speed must be above 30 words per minute Proven experience as a data entry clerk Excellent knowledge of word processing tools 2 Year -3 Year of experience with Office 365 (MS Office Word, Excel, etc.) Basic understanding of Databases Good command of English both oral and written and customer service skills Great attention to details",2026-08-10
Data Analyst,,"Navi Mumbai, Maharashtra",,,"Our Client have a wealth of experience in enterprise solution.They are recognized for their knowledge and experience on enterprise business systems.They are constantly finding innovative ways to blend people,process and technologies to deliver bottom-line benefits to their customers. Job Location :- Navi Mumbai Qualification :- BE/B TECH(IT/Computers) , MCA, MSE(IT/Computers) Experience :- 0 to 1 Year 1) Software programming experience. 2) Advanced with Python. 3) Strong knowledge of SQL Server…",2026-08-10
Data Analyst,,"Mumbai, Maharashtra",,,"Acquire data from primary or secondary data sources and maintain databases/data systems Expertise in processing large datasets for data transformation like data cleansing, scrubbing, profiling Interpreting, filtering, cleaning and analyzing data using advanced Excel, Access and SQL. Provided the company with charts and graphs from the data analyzed to identify trends and patterns for further decision making. Working with data structures and algorithms. Familiarity with NoSQL NewSQL databases Re…",2026-08-10
Data Analyst,,"Mumbai, Maharashtra",,,"1. MIS generation 2. Coordination and Administration 3. Secretarial support Job Description: 1. Preparing daily / weekly reports / MIS by gathering data from dashboards and by using advanced excel tools like, V lookup, H lookup, pivot table, formulas etc. 2. Coordination with various departments / divisions. 3. Managing correspondence with various employees in the organization. 4. Arrangements and coordination for workshops / seminars / exhibitions etc. 5. Providing secretarial support. Kindly …",2026-08-10
