,Name,Rating,Reviews,About_Locations,Avg_salary,TotalJobs
169,Berger Paints,3.7,(4.3k),Chemicals | Kolkata +357 other locations,10.4k,113
170,TeamLease Services,3.9,(4.3k),Recruitment | Bengaluru +400 other locations,16.2k,2
171,Lenskart,3.3,(4.3k),Internet | New Delhi +241 other locations,13.2k,191
172,VE Commercial Vehicles,3.9,(4.3k),Automobile | Indore +180 other locations,14.1k,4
173,Thermax Limited,4.2,(4.2k),Industrial Machinery | Pune +255 other locations,13.2k,77
174,Bajaj Auto,3.8,(4.2k),Automobile | Pune +320 other locations,14.4k,--
175,Macleods Pharmaceuticals,3.7,(4.2k),Pharma | Mumbai +135 other locations,15.6k,15
176,Jubilant Foods Works,3.7,(4.1k),Hospitality | New Delhi +262 other locations,9.4k,249
177,Aakash Educational Services,3.2,(4.1k),Education & Training | New Delhi +247 other locations,13.8k,67
178,Kogta Financial India Limited,4.7,(4.1k),NBFC | Jaipur +260 other locations,1.9k,131
179,LG Electronics,3.9,(4.1k),Consumer Electronics & Appliances | Pune +300 other locations,11.2k,--
180,Hindalco Industries,4.2,(4.1k),Metals & Mining | Sambalpur +129 other locations,12.6k,9
181,Jindal Steel Limited,3.9,(4.1k),Iron & Steel | Angul +175 other locations,15.8k,46
182,Royal Enfield,4.2,(4.1k),Automobile | Chennai +376 other locations,15k,18
183,State Street Corporation,3.5,(4k),Financial Services | Bengaluru +35 other locations,32.1k,8
184,DCB Bank,3.8,(4k),Banking | Mumbai +344 other locations,9.7k,27
185,Tata Communications,3.9,(4k),Telecom | Pune +102 other locations,23.6k,262
186,HDFC Ergo General Insurance,4.0,(4k),Insurance | Mumbai +328 other locations,12.1k,62
187,John Deere,4.0,(4k),Industrial Machinery | Pune +154 other locations,15.3k,2
188,RBL Bank,3.5,(4k),Banking | Mumbai +288 other locations,18.4k,41
189,Cummins,4.3,(3.9k),Industrial Machinery | Pune +116 other locations,15.5k,93
190,Publicis Sapient,3.3,(3.9k),IT Services & Consulting | Bengaluru +46 other locations,31.1k,210
191,Bank of America,4.1,(3.9k),Banking | Gurugram +35 other locations,28.8k,--
192,Pidilite Industries,4.2,(3.9k),Chemicals | Mumbai +320 other locations,11.5k,13
193,Alembic Pharmaceuticals,3.9,(3.9k),Pharma | Vadodara +187 other locations,15.4k,89
194,Oyo Rooms,3.0,(3.9k),Internet | Gurugram +121 other locations,14.3k,174
195,Subros,3.8,(3.8k),Auto Components | Noida +89 other locations,12.6k,1
196,American Express,4.1,(3.8k),Financial Services | Gurugram +53 other locations,25.3k,180
197,Reliance Communications,4.0,(3.8k),Telecom | Mumbai +468 other locations,9.5k,--
198,Aditya Birla Sun Life Insurance,4.0,(3.8k),Insurance | Mumbai +494 other locations,10.1k,1
199,Carelon Global Solutions,3.9,(4.1k),IT Services & Consulting | Bengaluru +21 other locations,28.3k,53
200,Grasim Industries,4.0,(3.8k),Building Material | Bharuch +247 other locations,12.7k,6
201,XpressBees,4.2,(3.8k),Logistics | Pune +478 other locations,8.3k,12
202,Altruist Technologies,4.4,(3.8k),BPO | Bengaluru +44 other locations,8.3k,8
203,Kyndryl,4.0,(3.8k),IT Services & Consulting | Bengaluru +37 other locations,26.5k,17
204,Automatic Data Processing (ADP),3.9,(3.8k),Software Product | Hyderabad +41 other locations,22.1k,55
205,Viatris,4.1,(3.8k),Pharma | Hyderabad +80 other locations,14.2k,9
206,PNB MetLife,3.3,(3.8k),Insurance | New Delhi +425 other locations,8.2k,16
207,PVR INOX,3.9,(3.8k),Media & Entertainment | New Delhi +149 other locations,9.5k,16
208,Aditya Birla Capital,3.8,(3.7k),NBFC | Mumbai +341 other locations,14.1k,1
209,Escorts Kubota Limited,4.1,(3.7k),Automobile | Faridabad +157 other locations,13.4k,3
210,Maersk,4.0,(3.7k),Logistics | Chennai +49 other locations,19.1k,45
211,KPIT Technologies,2.9,(3.7k),Software Product | Pune +43 other locations,23.2k,57
212,Synechron,3.4,(3.7k),IT Services & Consulting | Pune +32 other locations,28.3k,74
213,Birlasoft,3.5,(3.7k),IT Services & Consulting | Pune +50 other locations,29.8k,447
214,JK Cement,4.0,(3.7k),Building Material | New Delhi +331 other locations,10.1k,2
215,Glenmark Pharmaceuticals,3.8,(3.7k),Pharma | Mumbai +186 other locations,12.2k,124
216,Dabur,3.8,(3.6k),FMCG | New Delhi +321 other locations,8.8k,16
217,Sodexo,4.0,(3.6k),Facility Management Services | Mumbai +159 other locations,9.9k,344
218,Cloudnine Hospital,4.4,(3.6k),Healthcare | Bengaluru +46 other locations,3k,11
219,Kotak Mahindra Life Insurance Company,3.5,(3.6k),Insurance | Mumbai +257 other locations,12.5k,170
220,Bharat Electronics,4.2,(3.6k),Electronics Manufacturing | Bengaluru +87 other locations,12.5k,1
221,Godrej & Boyce Manufacturing,3.9,(3.6k),Consumer Electronics & Appliances | Mumbai +166 other locations,15.1k,50
222,Cogent E Services,3.1,(3.6k),BPO | Noida +56 other locations,10.3k,2
223,Samvardhana Motherson Group,3.7,(3.6k),Auto Components | Noida +94 other locations,12.1k,13
224,Abbott,4.1,(3.6k),Pharma | Mumbai +214 other locations,11.9k,217
225,Ipca Laboratories,3.8,(3.6k),Pharma | Mumbai +161 other locations,11.5k,53
226,Aarti Industries,4.1,(3.6k),Agro Chemicals | Bharuch +58 other locations,14.4k,25
227,PhonePe,4.0,(3.5k),FinTech | Bengaluru +397 other locations,13.1k,65
228,Reliance Projects & Property Management Services,4.0,(3.5k),Other | Kolkata +620 other locations,7.3k,--
229,Indian Oil Corporation,4.3,(3.5k),Oil & Gas | New Delhi +314 other locations,7.8k,--
230,Reliance Digital,4.1,(3.5k),Retail | Mumbai +379 other locations,8k,--
231,MRF Tyres,3.6,(3.5k),Auto Components | Chennai +194 other locations,12.7k,24
232,Alkem Laboratories,3.9,(3.5k),Pharma | Mumbai +200 other locations,9.9k,23
233,Johnson Controls,3.5,(3.5k),Industrial Automation | Pune +57 other locations,17.6k,5
234,IGT Solutions,3.2,(3.5k),BPO | New Delhi +47 other locations,13.5k,126
235,UNO Minda,4.0,(3.5k),Auto Components | Pune +110 other locations,11.3k,15
236,"NTT DATA, Inc.",3.9,(3.5k),IT Services & Consulting | Bengaluru +36 other locations,21.3k,98
237,Honda Motorcycle & Scooter,4.1,(3.5k),Automobile | Gurugram +300 other locations,11.1k,1
238,ArcelorMittal Nippon Steel,4.1,(3.4k),Iron & Steel | Surat +86 other locations,11.9k,6
239,Blinkit,3.8,(3.4k),Internet | Gurugram +149 other locations,12.9k,--
240,[24]7.ai,3.4,(3.4k),Software Product | Bengaluru +36 other locations,11.7k,96
241,Vishal Mega Mart,3.7,(3.4k),Retail | New Delhi +378 other locations,6.2k,4
242,Hindustan Coca Cola Beverages,4.0,(3.4k),Beverage | Bengaluru +262 other locations,7.7k,54
243,UBS,3.8,(3.4k),Financial Services | Pune +19 other locations,31.7k,--
244,DTDC Express,3.7,(3.4k),Logistics | New Delhi +271 other locations,8.7k,34
